brazilian_artist  times_it_samples_others
----------------------------------------------------------------------
Alibi  56
Vintage Culture  44
GUSTAVOEGATOTV  33
Bebel Gilberto  30
Amon Tobin  27
Racionais MC’s  26
Alok  23
Darth & Vader  23
Aesthetische  20
Felguk  19
Cement Tea  19
Gabriel o Pensador  17
Rouge  17
Tiago Frúgoli Ensemble  16
Azymuth  14
Pop Up!  14
guilhox  13
Otto  12
Aghast View  12
MC Fioti  12
Jaloo  11
Flavia Coelho  11
Öwnboss  11
Wanessa Camargo  10
FTampa  10
hummingdeath  10
Future Frog  9
Gusttavo Lima  9
Léo Leobons  9
Digitaria  9
Nação Zumbi  8
Sérgio Mendes  8
Zerb  8
miwafoxl  8
LANIc0re  8
HNQO  7
Tiago Iorc  7
Giuliano Rodrigues  7
MixHell  7
Burn in Noise  7
Elowinz  6
Lorena Simpson  6
Xuxa  6
Gui Boratto  6
Anitta  6
Ricardo Donoso  5
Luiz B  5
G-Low  5
Rodrigo Stradiotto  5
Urbandawn  5
